Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA
1919,-0.4,-0.4,-0.4,-0.2,-0.5,-0.6,-0.5,-0.6,-0.4,-0.4,-0.7,-0.7,-0.5,-0.5,-0.4,-0.4,-0.6
1920,-0.4,-0.5,-0.2,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.8,-0.5,-0.5,-0.5,-0.4,-0.5
1921,-0.1,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.5,-0.3,-0.1,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4
1922,-0.6,-0.8,-0.3,-0.4,-0.6,-0.5,-0.5,-0.6,-0.6,-0.6,-0.3,-0.3,-0.5,-0.5,-0.6,-0.4,-0.5
1923,-0.5,-0.7,-0.6,-0.7,-0.6,-0.5,-0.5,-0.6,-0.6,-0.2,-0.0,-0.1,-0.5,-0.5,-0.5,-0.6,-0.6
1924,-0.4,-0.4,-0.1,-0.5,-0.3,-0.5,-0.5,-0.6,-0.6,-0.6,-0.4,-0.8,-0.5,-0.4,-0.3,-0.3,-0.5
1925,-0.7,-0.7,-0.5,-0.5,-0.5,-0.6,-0.5,-0.4,-0.3,-0.3,0.1,0.1,-0.4,-0.5,-0.7,-0.5,-0.5
1926,0.4,0.1,0.2,-0.2,-0.4,-0.5,-0.5,-0.3,-0.3,-0.2,-0.1,-0.5,-0.2,-0.1,0.2,-0.1,-0.4
1927,-0.5,-0.3,-0.7,-0.5,-0.5,-0.5,-0.3,-0.4,-0.2,-0.0,-0.1,-0.6,-0.4,-0.4,-0.5,-0.6,-0.4
1928,-0.0,-0.2,-0.5,-0.5,-0.5,-0.7,-0.3,-0.4,-0.4,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.5,-0.5
1929,-0.8,-1.0,-0.6,-0.7,-0.7,-0.8,-0.7,-0.6,-0.5,-0.3,-0.2,-1.0,-0.6,-0.6,-0.7,-0.7,-0.7
1930,-0.5,-0.5,-0.2,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,0.3,-0.1,-0.3,-0.4,-0.7,-0.3,-0.3
1931,-0.2,-0.4,-0.2,-0.4,-0.3,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.1
1932,0.3,-0.3,-0.3,-0.1,-0.3,-0.5,-0.4,-0.4,-0.2,-0.2,-0.5,-0.5,-0.3,-0.3,-0.0,-0.2,-0.5
1933,-0.4,-0.5,-0.5,-0.4,-0.5,-0.6,-0.4,-0.4,-0.5,-0.4,-0.5,-0.8,-0.5,-0.5,-0.5,-0.5,-0.5
1934,-0.4,-0.0,-0.5,-0.5,-0.2,-0.3,-0.2,-0.2,-0.3,-0.1,0.1,-0.0,-0.2,-0.3,-0.4,-0.4,-0.2
1935,-0.6,0.3,-0.3,-0.6,-0.5,-0.5,-0.4,-0.4,-0.4,-0.1,-0.5,-0.3,-0.4,-0.3,-0.1,-0.5,-0.4
1936,-0.5,-0.7,-0.4,-0.3,-0.3,-0.4,-0.2,-0.2,-0.1,-0.0,0.0,0.0,-0.3,-0.3,-0.5,-0.3,-0.3
1937,-0.1,0.1,-0.4,-0.3,-0.1,-0.1,-0.1,0.0,0.2,0.2,0.1,-0.1,-0.0,-0.0,-0.0,-0.2,-0.0
1938,0.2,0.1,0.2,0.1,-0.2,-0.3,-0.2,-0.1,0.0,0.3,0.1,-0.2,0.0,0.0,0.0,0.1,-0.2
1939,-0.1,-0.1,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.8,-0.0,-0.1,-0.1,-0.2,-0.1
1940,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.6,0.2,0.3,0.3,0.2,0.2
1941,0.3,0.6,0.2,0.3,0.3,0.2,0.4,0.3,0.0,0.6,0.4,0.4,0.3,0.4,0.5,0.3,0.3
1942,0.5,0.0,0.1,0.2,0.2,0.1,0.0,-0.1,-0.1,0.0,0.2,0.2,0.1,0.1,0.3,0.2,0.0
1943,0.0,0.3,-0.1,0.2,0.1,-0.1,0.2,0.0,0.1,0.4,0.4,0.4,0.2,0.1,0.2,0.1,0.0
1944,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.5,0.2,0.1,0.4,0.4,0.5,0.4,0.3
1945,0.2,0.0,0.1,0.4,0.1,0.0,0.1,0.5,0.4,0.3,0.1,-0.1,0.2,0.2,0.1,0.2,0.2
1946,0.3,0.1,0.0,0.1,-0.1,-0.4,-0.2,-0.4,-0.1,-0.1,-0.1,-0.6,-0.1,-0.1,0.1,0.0,-0.3
1947,-0.1,-0.1,0.1,0.1,-0.0,-0.0,-0.1,-0.1,-0.2,0.1,0.1,-0.2,-0.0,-0.1,-0.3,0.1,-0.1
1948,0.1,-0.3,-0.4,-0.2,0.0,-0.1,-0.2,-0.2,-0.3,-0.1,-0.2,-0.4,-0.2,-0.2,-0.1,-0.2,-0.2
1949,0.1,-0.3,-0.0,-0.2,-0.2,-0.5,-0.2,-0.2,-0.3,-0.1,-0.2,-0.3,-0.2,-0.2,-0.2,-0.1,-0.3
1950,-0.5,-0.5,-0.1,-0.4,-0.2,-0.1,-0.1,-0.3,-0.2,-0.4,-0.6,-0.4,-0.3,-0.3,-0.4,-0.2,-0.2
1951,-0.6,-0.7,-0.4,-0.3,0.0,-0.1,-0.0,0.1,0.1,0.1,-0.0,0.3,-0.1,-0.2,-0.6,-0.2,-0.0
1952,0.2,0.2,-0.1,0.1,-0.1,-0.1,0.1,0.1,0.1,0.0,-0.2,-0.0,0.0,0.1,0.2,-0.0,0.0
1953,0.1,0.3,0.2,0.4,0.2,0.2,0.0,0.1,0.1,0.1,-0.1,0.1,0.1,0.1,0.1,0.3,0.1
1954,-0.4,-0.2,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.2,-0.0,0.1,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3
1955,0.2,-0.3,-0.6,-0.4,-0.4,-0.3,-0.2,0.0,-0.2,-0.1,-0.5,-0.5,-0.3,-0.2,-0.1,-0.5,-0.1
1956,-0.2,-0.4,-0.4,-0.5,-0.5,-0.3,-0.2,-0.5,-0.3,-0.4,-0.3,-0.1,-0.3,-0.4,-0.4,-0.5,-0.3
1957,-0.2,-0.1,-0.1,0.0,0.2,0.3,0.0,0.3,0.2,0.0,0.1,0.3,0.1,0.1,-0.1,0.0,0.2
1958,0.7,0.4,0.2,0.0,0.1,-0.1,0.1,-0.1,-0.1,0.1,0.0,0.0,0.1,0.1,0.5,0.1,-0.1
1959,0.1,0.1,0.3,0.3,0.1,0.1,0.1,-0.0,-0.1,-0.1,-0.1,0.0,0.1,0.1,0.1,0.2,0.0
1960,0.0,0.2,-0.6,-0.3,-0.1,-0.1,-0.1,0.0,0.1,0.1,-0.2,0.3,-0.0,-0.1,0.1,-0.3,-0.0
1961,0.1,0.3,0.2,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.1,-0.3,0.1,0.2,0.3,0.2,0.1
1962,0.1,0.3,0.2,0.1,-0.1,0.1,0.0,-0.0,0.0,0.0,0.1,-0.1,0.1,0.0,0.0,0.1,0.0
1963,-0.1,0.3,-0.3,-0.1,-0.1,0.1,0.1,0.4,0.3,0.3,0.3,-0.1,0.1,0.1,0.1,-0.2,0.2
1964,-0.2,-0.2,-0.4,-0.6,-0.5,-0.1,-0.1,-0.4,-0.5,-0.6,-0.4,-0.5,-0.4,-0.3,-0.1,-0.5,-0.2
1965,-0.1,-0.3,-0.2,-0.3,-0.2,-0.1,-0.2,-0.1,-0.3,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.1
1966,-0.3,-0.1,0.1,-0.2,-0.2,0.0,0.1,-0.2,-0.1,-0.3,-0.0,-0.1,-0.1,-0.1,-0.2,-0.1,0.0
1967,-0.1,-0.4,0.1,-0.1,0.2,-0.1,0.0,0.0,-0.1,0.2,-0.1,-0.1,-0.0,-0.0,-0.2,0.1,-0.0
1968,-0.5,-0.3,0.4,-0.1,-0.3,-0.2,-0.2,-0.2,-0.3,0.2,-0.1,-0.3,-0.1,-0.1,-0.3,0.0,-0.2
1969,-0.2,-0.3,0.0,0.3,0.3,0.1,-0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.0,-0.3,0.2,0.0
1970,0.1,0.4,0.1,0.1,-0.1,-0.1,0.0,-0.2,0.2,0.1,0.0,-0.2,0.1,0.1,0.3,0.1,-0.1
1971,-0.0,-0.3,-0.3,-0.1,-0.1,-0.3,-0.1,-0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1
1972,-0.4,-0.3,0.0,0.0,-0.1,0.1,0.0,0.3,0.0,0.1,0.0,0.3,0.0,-0.0,-0.3,0.0,0.1
1973,0.5,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.2,0.2,0.1,-0.1,0.3,0.3,0.5,0.5,0.2
1974,-0.2,-0.5,-0.1,-0.2,-0.1,-0.1,-0.1,0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.1,0.0
1975,0.2,0.1,0.2,0.1,0.3,-0.0,-0.0,-0.3,-0.0,-0.2,-0.3,-0.3,-0.0,-0.0,0.1,0.2,-0.1
1976,-0.1,-0.1,-0.4,-0.1,-0.4,-0.2,-0.2,-0.2,-0.1,-0.4,-0.1,0.2,-0.2,-0.2,-0.2,-0.3,-0.2
1977,0.3,0.4,0.4,0.5,0.6,0.5,0.4,0.3,0.0,0.1,0.3,0.1,0.3,0.3,0.3,0.5,0.4
1978,0.1,0.2,0.3,0.3,0.2,-0.0,0.1,-0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,-0.1
1979,0.1,-0.2,0.3,0.3,0.1,0.3,0.1,0.3,0.5,0.5,0.5,0.9,0.3,0.2,0.0,0.2,0.2
1980,0.5,0.7,0.5,0.5,0.6,0.4,0.4,0.3,0.4,0.2,0.5,0.4,0.5,0.5,0.7,0.6,0.4
1981,1.0,0.8,0.9,0.6,0.4,0.5,0.6,0.6,0.3,0.2,0.4,0.7,0.6,0.5,0.7,0.6,0.6
1982,0.1,0.3,0.1,0.3,0.3,0.1,0.3,0.1,0.3,0.2,0.3,0.8,0.3,0.3,0.4,0.2,0.1
1983,1.0,0.8,0.7,0.5,0.6,0.4,0.3,0.6,0.7,0.3,0.5,0.3,0.6,0.6,0.8,0.6,0.5
1984,0.6,0.3,0.5,0.1,0.6,0.0,0.3,0.3,0.4,0.2,0.1,-0.1,0.3,0.3,0.4,0.4,0.2
1985,0.4,-0.1,0.3,0.2,0.3,0.3,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.3,0.2
1986,0.5,0.7,0.5,0.4,0.4,0.2,0.2,0.3,0.1,0.3,0.2,0.2,0.3,0.3,0.5,0.4,0.2
1987,0.6,0.8,0.3,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.5,0.8,0.6,0.5,0.5,0.4,0.6
1988,1.0,0.8,0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.2,0.5,0.7,0.7,0.9,0.8,0.7
1989,0.2,0.5,0.6,0.5,0.3,0.3,0.6,0.6,0.6,0.5,0.3,0.7,0.5,0.5,0.4,0.5,0.5
1990,0.7,0.8,1.4,1.0,0.8,0.7,0.8,0.6,0.4,0.8,0.8,0.7,0.8,0.8,0.7,1.1,0.7
1991,0.8,0.9,0.6,0.9,0.6,1.0,0.8,0.7,0.8,0.5,0.5,0.6,0.7,0.7,0.8,0.7,0.8
1992,0.8,0.7,0.9,0.5,0.6,0.5,0.1,0.1,-0.0,0.1,0.1,0.4,0.4,0.4,0.7,0.6,0.3
1993,0.6,0.7,0.6,0.5,0.5,0.4,0.5,0.2,0.2,0.4,0.1,0.3,0.4,0.4,0.6,0.6,0.3
1994,0.5,0.0,0.5,0.7,0.5,0.8,0.5,0.4,0.6,0.8,0.8,0.7,0.6,0.5,0.3,0.6,0.6
1995,0.9,1.4,0.8,0.8,0.5,0.8,0.8,0.8,0.6,0.8,0.8,0.5,0.8,0.8,1.0,0.7,0.8
1996,0.4,0.8,0.6,0.6,0.5,0.5,0.6,0.9,0.5,0.4,0.7,0.7,0.6,0.6,0.6,0.6,0.7
1997,0.6,0.7,0.9,0.6,0.6,1.0,0.6,0.7,0.9,1.1,1.2,1.1,0.8,0.8,0.7,0.7,0.8
1998,1.0,1.6,1.1,1.1,1.2,1.4,1.2,1.2,0.7,0.7,0.8,1.0,1.1,1.1,1.2,1.2,1.2
1999,0.9,1.1,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.7,1.0,0.5,0.6
2000,0.4,1.0,1.0,1.0,0.6,0.7,0.7,0.8,0.7,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.7
2001,0.8,0.8,1.0,0.9,1.0,0.9,1.1,0.9,0.9,0.9,1.3,1.0,1.0,0.9,0.7,1.0,1.0
2002,1.4,1.4,1.6,1.0,1.2,1.0,1.1,1.0,1.1,1.0,1.0,0.8,1.1,1.1,1.3,1.3,1.0
2003,1.3,1.0,1.1,1.0,1.1,0.9,1.0,1.2,1.1,1.3,1.0,1.3,1.1,1.1,1.1,1.0,1.0
2004,1.0,1.3,1.1,1.1,0.7,0.8,0.5,0.8,0.9,1.1,1.3,0.9,1.0,1.0,1.2,1.0,0.7
2005,1.3,1.1,1.3,1.2,1.1,1.2,1.1,1.1,1.3,1.4,1.3,1.2,1.2,1.2,1.1,1.2,1.1
2006,1.0,1.3,1.1,0.8,0.9,1.2,1.0,1.3,1.2,1.3,1.3,1.4,1.2,1.1,1.2,0.9,1.1
2007,1.8,1.3,1.3,1.4,1.2,1.1,1.1,1.1,1.1,1.0,1.1,0.9,1.2,1.2,1.5,1.3,1.1
2008,0.5,0.7,1.3,1.0,0.9,0.9,1.1,0.8,1.1,1.2,1.2,1.0,1.0,1.0,0.7,1.1,0.9
2009,1.2,0.9,1.0,1.1,1.2,1.2,1.3,1.2,1.3,1.2,1.4,1.2,1.2,1.2,1.0,1.1,1.2
2010,1.4,1.5,1.7,1.5,1.4,1.2,1.1,1.2,1.2,1.3,1.5,0.8,1.3,1.3,1.4,1.5,1.2
2011,0.9,0.9,1.2,1.2,1.0,1.1,1.3,1.4,1.0,1.2,1.0,1.1,1.1,1.1,0.9,1.1,1.2
2012,0.8,0.9,1.0,1.3,1.4,1.2,1.0,1.2,1.3,1.4,1.4,1.0,1.2,1.2,0.9,1.2,1.1
2013,1.3,1.1,1.2,1.0,1.1,1.2,1.1,1.3,1.4,1.2,1.5,1.3,1.2,1.2,1.1,1.1,1.2
2014,1.4,1.0,1.4,1.4,1.5,1.2,1.0,1.5,1.6,1.4,1.2,1.4,1.3,1.3,1.2,1.5,1.2
2015,1.6,1.6,1.7,1.4,1.4,1.5,1.3,1.4,1.5,2.0,1.9,2.1,1.6,1.6,1.5,1.5,1.4
2016,2.1,2.5,2.4,2.0,1.7,1.4,1.5,1.8,1.6,1.6,1.7,1.6,1.8,1.9,2.2,2.1,1.6
2017,1.9,2.1,2.1,1.7,1.6,1.3,1.5,1.6,1.4,1.6,1.6,1.7,1.7,1.6,1.8,1.8,1.4
2018,1.5,1.5,1.6,1.6,1.5,1.4,1.5,1.4,1.4,1.8,1.5,1.7,1.5,1.5,1.6,1.5,1.4
2019,1.7,1.7,2.1,1.8,1.5,1.6,1.7,1.7,1.7,1.8,1.8,2.0,1.8,1.7,1.7,1.8,1.7
2020,2.1,2.2,2.1,2.0,1.8,1.6,1.6,1.6,1.8,1.6,2.0,1.4,1.8,1.9,2.1,2.0,1.6
2021,1.5,1.2,1.6,1.4,1.4,1.5,1.6,1.5,1.7,1.8,1.7,1.5,1.5,1.5,1.4,1.4,1.5
2022,1.6,1.6,1.9,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.3,1.4,1.6,1.6,1.6,1.6,1.7
2023,1.6,1.7,2.2,1.8,1.7,1.9,2.1,2.1,2.6,2.4,2.6,2.4,2.1,2.0,1.6,1.9,2.1
2024,2.2,****,****,****,****,****,****,****,****,****,****,****,****,,****,****,****
